"task","field_name","detected_type","appears_in_tables","table_count","non_null_rows","total_rows","coverage_pct","sample_values","description"
"mixed","accuracy","logical","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,120,1212,9.9,"TRUE | FALSE","Correctness/accuracy value for the row."
"mixed","completed_at","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,260,1212,21.45,"2026-04-15T05:47:46.776569Z | 2026-04-20T18:59:56.568248Z | 2026-04-15T13:42:06.673154Z","Run completion timestamp from wrapper."
"mixed","config_id","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,712,1212,58.75,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Config identifier associated with the trial/run."
"mixed","correct_side","mostly-empty","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,0,1212,0,,"Correct side/category label for side-based scoring."
"mixed","created_at","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,936,1212,77.23,"2026-05-25T16:54:00.824Z | 2026-05-05T20:39:51.722Z | 2026-04-15T05:47:46.570Z","Result payload creation timestamp."
"mixed","end_reason","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,272,1212,22.44,"timeout | end_key | response","End reason from trial-level row."
"mixed","experiment_type","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,582,1212,48.02,"continuous | trial-based","Experiment mode label (for example trial-based or continuous)."
"mixed","file_path","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,1212,1212,100,"/home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185358.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185529.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185613.json","Absolute source file path used in ingestion."
"mixed","participant_key_preview","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,260,1212,21.45,"29a0342f72ad... | f19f708e9ad2... | 982eb1487d4f...","Participant key preview from portal wrapper."
"mixed","plugin_type","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,1212,1212,100,"soc-dashboard | html-keyboard-response | gabor-trial","Plugin identifier recorded for the trial."
"mixed","plugin_version","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,712,1212,58.75,"0.6.7 | 2.1.0 | 1.0.0","Plugin version string when provided."
"mixed","response","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,58,1212,4.79,"Enter | {""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null}","Raw response field from trial row."
"mixed","response_angle_deg","mostly-empty","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,0,1212,0,,"Participant response direction in degrees."
"mixed","response_key","character","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,120,1212,9.9,"j | f","Raw response key/button identifier."
"mixed","response_segment_index","mostly-empty","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,0,1212,0,,"Selected segment index in segmented response modes."
"mixed","response_side","mostly-empty","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,0,1212,0,,"Participant chosen side/category label."
"mixed","rt_ms","numeric","all_trials | rdm_trials | gabor_trials | drt_trials | mw_probe_trials | survey_trials | other_trials",7,298,1212,24.59,"568 | 8385 | 2560","Response time in milliseconds for this trial/event."
