"task","field_name","detected_type","appears_in_tables","table_count","non_null_rows","total_rows","coverage_pct","sample_values","description"
"soc_dashboard","accuracy","logical","all_trials | soc_dashboard_trials",2,60,614,9.77,"TRUE | FALSE","Correctness/accuracy value for the row."
"soc_dashboard","completed_at","character","all_trials | soc_dashboard_trials",2,135,614,21.99,"2026-04-15T05:47:46.776569Z | 2026-04-20T18:59:56.568248Z | 2026-04-15T13:42:06.673154Z","Run completion timestamp from wrapper."
"soc_dashboard","config_id","character","all_trials | soc_dashboard_trials",2,364,614,59.28,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Config identifier associated with the trial/run."
"soc_dashboard","correct_side","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Correct side/category label for side-based scoring."
"soc_dashboard","created_at","character","all_trials | soc_dashboard_trials",2,463,614,75.41,"2026-05-25T16:54:00.824Z | 2026-05-05T20:39:51.722Z | 2026-04-15T05:47:46.570Z","Result payload creation timestamp."
"soc_dashboard","end_reason","character","all_trials | soc_dashboard_trials",2,145,614,23.62,"timeout | end_key | response","End reason from trial-level row."
"soc_dashboard","experiment_type","character","all_trials | soc_dashboard_trials",2,309,614,50.33,"continuous | trial-based","Experiment mode label (for example trial-based or continuous)."
"soc_dashboard","file_path","character","all_trials | soc_dashboard_trials",2,614,614,100,"/home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185358.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185529.json | /home/kamisalibayeva/Code/Samples/cogflow-data-sample_soc_mw_probe_smoke-20260518-185613.json","Absolute source file path used in ingestion."
"soc_dashboard","participant_key_preview","character","all_trials | soc_dashboard_trials",2,135,614,21.99,"29a0342f72ad... | f19f708e9ad2... | 982eb1487d4f...","Participant key preview from portal wrapper."
"soc_dashboard","plugin_type","character","all_trials | soc_dashboard_trials",2,614,614,100,"soc-dashboard | html-keyboard-response | gabor-trial","Plugin identifier recorded for the trial."
"soc_dashboard","plugin_version","character","all_trials | soc_dashboard_trials",2,364,614,59.28,"0.6.7 | 2.1.0 | 1.0.0","Plugin version string when provided."
"soc_dashboard","response","character","all_trials | soc_dashboard_trials",2,27,614,4.4,"Enter | {""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null}","Raw response field from trial row."
"soc_dashboard","response_angle_deg","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Participant response direction in degrees."
"soc_dashboard","response_key","character","all_trials | soc_dashboard_trials",2,60,614,9.77,"j | f","Raw response key/button identifier."
"soc_dashboard","response_segment_index","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Selected segment index in segmented response modes."
"soc_dashboard","response_side","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Participant chosen side/category label."
"soc_dashboard","rt_ms","numeric","all_trials | soc_dashboard_trials",2,158,614,25.73,"568 | 8385 | 2560","Response time in milliseconds for this trial/event."
"soc_dashboard","run_session_id","character","all_trials | soc_dashboard_trials",2,598,614,97.39,"07eb0fb3-9d05-4b6c-8703-4d59d9567281 | 1c4ff8cf-202b-42c8-912e-2d064adbeba8 | 2ad53a4d-f9e9-41f6-bb07-0cc2a71d28e9","Run session UUID from portal wrapper when present."
"soc_dashboard","run_status","character","all_trials | soc_dashboard_trials",2,598,614,97.39,"completed","Run completion status from portal wrapper."
"soc_dashboard","source_format","character","all_trials | soc_dashboard_trials",2,614,614,100,"jspsych-array | cogflow-run-json-wrapper | cogflow-run-csv","Detected source envelope format (wrapper/json/csv/jsPsych array)."
"soc_dashboard","started_at","character","all_trials | soc_dashboard_trials",2,135,614,21.99,"2026-04-15T05:47:37.970943Z | 2026-04-20T18:53:41.254577Z | 2026-04-15T13:40:34.783294Z","Run start timestamp from wrapper."
"soc_dashboard","stimulus","character","all_trials | soc_dashboard_trials",2,63,614,10.26,"<div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p>This experi | <div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p>This experi | <div class=""psy-wrap"">
          <div class=""psy-stage"">
            <div class=""psy-text"">
              <p style='text","Stimulus content captured in trial row."
"soc_dashboard","study_slug","character","all_trials | soc_dashboard_trials",2,463,614,75.41,"soc-sart-test-2 | soc-test-1 | rdm-test-0001","Study slug/code from portal wrapper when present."
"soc_dashboard","survey_responses_json","json-string","all_trials | soc_dashboard_trials",2,17,614,2.77,"{""q1"":""On Task""} | {""q1"":""1 – On task"",""q2"":null} | {""q1"":""2 - Task-related interference"",""q2"":null}","Survey responses encoded as JSON string."
"soc_dashboard","task_type","character","all_trials | soc_dashboard_trials",2,614,614,100,"soc-dashboard | rdm | gabor","Task type label attached to trial (or envelope fallback)."
"soc_dashboard","time_elapsed","integer","all_trials | soc_dashboard_trials",2,364,614,59.28,"12002 | 12804 | 12803","Elapsed time since task/run start at this row."
"soc_dashboard","trial__block_index","integer","all_trials | soc_dashboard_trials",2,60,614,9.77,"0 | 1 | 2","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial__block_source_index","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial__generated_from_block","logical","all_trials | soc_dashboard_trials",2,60,614,9.77,"TRUE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_accuracy","logical","all_trials | soc_dashboard_trials",2,60,614,9.77,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_active_app","character","all_trials | soc_dashboard_trials",2,30,614,4.89,"tasks","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_adaptive_mode","character","all_trials | soc_dashboard_trials",2,60,614,9.77,"quest","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_adaptive_parameter","character","all_trials | soc_dashboard_trials",2,60,614,9.77,"contrast","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_adaptive_value","numeric","all_trials | soc_dashboard_trials",2,60,614,9.77,"0.438424067747088 | 0.432666674985725 | 0.42699709566055","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_clicks","json-string","all_trials | soc_dashboard_trials",2,3,614,0.49,"[{""x"":460,""y"":139.75,""t_ms"":901.3999999910593,""object_hit"":true,""object_idx"":4},{""x"":544,""y"":155.75,""t_ms"":1297.59999999 | [{""x"":599,""y"":463.75,""t_ms"":797.3999999910593,""object_hit"":true,""object_idx"":1},{""x"":616,""y"":422.75,""t_ms"":1073.39999999 | [{""x"":184,""y"":23.75,""t_ms"":846.2999999970198,""object_hit"":false,""object_idx"":-1},{""x"":205,""y"":55.75,""t_ms"":1259,""object_","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_code","character","all_trials | soc_dashboard_trials",2,452,614,73.62,"soc-sart-test-2 | soc-test-1 | sart-feedback","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_config_id","character","all_trials | soc_dashboard_trials",2,364,614,59.28,"sample_soc_mw_probe_smoke | soc-sart-test-2 | v2026-05-05","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_correct","logical","all_trials | soc_dashboard_trials",2,75,614,12.21,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_correct_key","character","all_trials | soc_dashboard_trials",2,60,614,9.77,"j | f","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_correctness","logical","all_trials | soc_dashboard_trials",2,60,614,9.77,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_cue_delay_ms","integer","all_trials | soc_dashboard_trials",2,60,614,9.77,"157 | 127 | 106","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_digit","integer","all_trials | soc_dashboard_trials",2,15,614,2.44,"3 | 9 | 7","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_distractor_orientation_deg","integer","all_trials | soc_dashboard_trials",2,60,614,9.77,"90 | 0","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_correct","logical","all_trials | soc_dashboard_trials",2,214,614,34.85,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_event","character","all_trials | soc_dashboard_trials",2,36,614,5.86,"start | stop","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_key","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_onset_iso","character","all_trials | soc_dashboard_trials",2,214,614,34.85,"2026-04-17T02:14:43.075Z | 2026-04-17T02:14:45.460Z | 2026-04-17T02:14:48.310Z","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_onset_ms","numeric","all_trials | soc_dashboard_trials",2,214,614,34.85,"4665 | 7049.40000009537 | 9899.30000007153","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_onset_unix_ms","integer","all_trials | soc_dashboard_trials",2,214,614,34.85,"1776392083075 | 1776392085460 | 1776392088310","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_paused_during_choice_phase","logical","all_trials | soc_dashboard_trials",2,3,614,0.49,"FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_responded","logical","all_trials | soc_dashboard_trials",2,214,614,34.85,"TRUE | FALSE","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_response_count","integer","all_trials | soc_dashboard_trials",2,214,614,34.85,"1 | 0","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_response_key","character","all_trials | soc_dashboard_trials",2,214,614,34.85,"space","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_rt_ms","numeric","all_trials | soc_dashboard_trials",2,188,614,30.62,"308.700000047684 | 357.299999952316 | 351.399999976158","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_segment_id","character","all_trials | soc_dashboard_trials",2,250,614,40.72,"drt_1 | drt_2 | drt_3","Flattened scalar copied from raw trial payload (trial.*)."
"soc_dashboard","trial_drt_segment_label","mostly-empty","all_trials | soc_dashboard_trials",2,0,614,0,,"Flattened scalar copied from raw trial payload (trial.*)."
